"date","GDP","GDPC1","USREC","g1","rg1","g4","rg4"
1968-04-01,934.344,4791.758,0,0.0274437615668581,0.0167079955009672,0.100545005023658,0.0551558151005884
1968-07-01,950.825,4828.892,0,0.0176391136455099,0.00774955663453869,0.0989236425332831,0.0533666823290024
1968-10-01,968.03,4847.885,0,0.0180948123997575,0.0039332004111905,0.0982382218168245,0.0495956536009694
1969-01-01,993.337,4923.76,0,0.0261427848310489,0.0156511550913445,0.0923149330263133,0.0447159810507631
1969-04-01,1009.02,4938.728,0,0.0157881967549787,0.00303995320649308,0.0799234543166114,0.0306714153761523
1969-07-01,1029.956,4971.349,0,0.0207488454143625,0.00660514205277019,0.0832235164199508,0.0295009704089468
1969-10-01,1038.147,4947.104,0,0.00795276691431446,-0.00487694587525345,0.0724326725411402,0.020466450833714
1970-01-01,1051.2,4939.759,1,0.012573363887773,-0.00148470701242642,0.0582511272609396,0.00324934602823856
1970-04-01,1067.375,4946.77,1,0.0153871765601226,0.00141930001038615,0.0578333432439397,0.00162835450747645
1970-07-01,1086.059,4992.357,1,0.017504625834406,0.00921550830137585,0.0544712589664025,0.00422581476375927
1970-10-01,1088.608,4938.857,1,0.00234701797968673,-0.0107163810600883,0.0486067965326684,-0.00166703590625961
1971-01-01,1135.156,5072.996,0,0.0427591933919282,0.0271599278942474,0.0798668188736682,0.0269723684900418
1971-04-01,1156.271,5100.447,0,0.0186009676203092,0.00541120079731905,0.0832846937580514,0.0310661300201949
1971-07-01,1177.675,5142.422,0,0.0185112313635816,0.00822967085041726,0.084356374745755,0.030058948108078
1971-10-01,1190.297,5154.547,0,0.0107177277262402,0.00235783838821546,0.0934119536141569,0.0436720480062491
1972-01-01,1230.609,5249.337,0,0.0338671776875854,0.0183895888426284,0.0840880020014869,0.0347607212779195
1972-04-01,1266.369,5368.485,0,0.0290587830903235,0.0226977235410868,0.0952181625241832,0.0525518645718699
1972-07-01,1290.566,5419.184,0,0.0191073849723109,0.00944381888000057,0.0958592141295349,0.0538193870514712
1972-10-01,1328.904,5509.926,0,0.0297063458978466,0.0167445873769922,0.116447407663802,0.0689447588701784
1973-01-01,1377.49,5646.286,0,0.0365609554941511,0.0247480637671,0.119356351204973,0.075618882917976
1973-04-01,1413.887,5707.755,0,0.026422696353513,0.0108866252966995,0.116488953851523,0.0631966001581452
1973-07-01,1433.838,5677.738,0,0.0141107457668121,-0.00525898536289682,0.111014857047218,0.0477108730760942
1973-10-01,1476.289,5731.632,0,0.0296065524836131,0.00949216043431389,0.110907183664132,0.0402375639890624
1974-01-01,1491.209,5682.353,1,0.0101064222520122,-0.00859772574373241,0.082555227261178,0.00638773877199994
1974-04-01,1530.056,5695.859,1,0.0260506743186228,0.00237683227353136,0.0821628602568665,-0.00208418195945692
1974-07-01,1560.026,5642.025,1,0.0195875183653413,-0.00945142778288532,0.0880071528303756,-0.00629000492801901
1974-10-01,1599.679,5620.126,1,0.0254181661074877,-0.00388140782786461,0.0835811958227692,-0.0194544939382011
1975-01-01,1616.116,5551.713,1,0.0102751864592836,-0.0121728587579703,0.0837622358770636,-0.0229904759524796
1975-04-01,1651.853,5591.382,0,0.0221128928864018,0.00714536216119166,0.0796029687802278,-0.0183426240010507
1975-07-01,1709.82,5687.087,0,0.0350921056534688,0.0171165196725973,0.0960201945352193,0.00798684869350996
1975-10-01,1761.831,5763.665,0,0.030418991472787,0.0134652415199552,0.101365336420619,0.0255401747220614
1976-01-01,1820.487,5893.276,0,0.0332926370349935,0.0224876012051365,0.126458125530593,0.0615238936162585
1976-04-01,1852.332,5936.515,0,0.0174925720425356,0.00733700576724994,0.12136612640471,0.0617258845845268
1976-07-01,1886.558,5969.089,0,0.0184772492188223,0.00548705764240576,0.103366436233054,0.0495863699640957
1976-10-01,1934.273,6012.356,0,0.0252920927954516,0.00724850978097336,0.0978765840764524,0.0431480663779036
1977-01-01,1988.648,6083.391,0,0.0281113369208998,0.0118148359811012,0.0923714368737596,0.0322596464173746
1977-04-01,2055.909,6201.659,0,0.0338224763759098,0.0194411307772275,0.109903084328295,0.0446632409755554
1977-07-01,2118.473,6313.559,0,0.0304313080005001,0.0180435589896177,0.122930225309797,0.0577089736809084
1977-10-01,2164.27,6313.697,0,0.0216179295181009,0.000021857719235463,0.118906173016942,0.0501202856251359
1978-01-01,2202.76,6333.848,0,0.0177842875426817,0.00319163241441678,0.107667118564975,0.0411706234236793
1978-04-01,2331.633,6578.605,0,0.0585052388821292,0.0386427018772784,0.134112939823698,0.06078147798839
1978-07-01,2395.053,6644.754,0,0.0271998208980568,0.0100551712711139,0.130556301638019,0.0524577342193207
1978-10-01,2476.949,6734.069,0,0.0341938153351937,0.0134414306383639,0.144473194194809,0.0665809588265005
1979-01-01,2526.61,6746.176,0,0.0200492622173487,0.00179787287596866,0.147020102053787,0.0650991308916793
1979-04-01,2591.247,6753.389,0,0.0255824998713692,0.00106919831323782,0.111344281025359,0.0265685506273747
1979-07-01,2667.565,6803.558,0,0.0294522289847323,0.00742871467940032,0.113781198161377,0.0238991541297089
1979-10-01,2723.883,6820.572,0,0.0211121378485621,0.00250075034268837,0.0996928075628525,0.0128455767233748
1980-01-01,2789.842,6842.024,1,0.0242150635691762,0.00314519075526132,0.104183866920498,0.0142077526586915
1980-04-01,2797.352,6701.046,1,0.00269190871741154,-0.0206047216437706,0.0795389246953302,-0.00775062712957897
1980-07-01,2856.483,6693.082,0,0.0211382049881457,-0.0011884711730088,0.070820392380317,-0.0162379743069728
1980-10-01,2985.557,6817.903,0,0.0451863357842501,0.0186492560527436,0.0960665344289751,-0.000391316153542487
1981-01-01,3124.206,6951.495,0,0.0464399105426556,0.0195942946093541,0.119850514832023,0.0159997977206745
1981-04-01,3162.532,6899.98,0,0.0122674369103695,-0.00741063612935089,0.130544886735742,0.029687007073224
1981-07-01,3260.609,6982.609,1,0.0310121763194819,0.0119752521021801,0.141476774060969,0.0432576502125628
1981-10-01,3280.818,6906.529,1,0.00619792192194657,-0.0108956408700529,0.0988964538275439,0.0129990115729133
1982-01-01,3274.302,6799.233,1,-0.00198609005436967,-0.0155354447943395,0.0480429267468279,-0.0219034898248506
1982-04-01,3331.972,6830.251,1,0.0176129141417007,0.00456198515332629,0.053577323486371,-0.0101056814657433
1982-07-01,3366.322,6804.139,1,0.0103092102814781,-0.00382299274214126,0.0324212440068712,-0.0255592143280542
1982-10-01,3402.561,6806.857,1,0.0107651615026727,0.000399462738782885,0.0371075140407058,-0.0144315617874045
1983-01-01,3473.413,6896.561,0,0.0208231388063282,0.013178475763483,0.0608102123750345,0.0143145557741586
1983-04-01,3578.848,7053.5,0,0.0303548699794705,0.0227561243930141,0.0740930596055429,0.0326853288407702
1983-07-01,3689.179,7194.504,0,0.030828635359758,0.0199906429432186,0.0959079375056813,0.0573716968451115
1983-10-01,3794.706,7344.597,0,0.0286044672812029,0.0208621747934266,0.115249954372604,0.0789997498111095
1984-01-01,3908.054,7488.167,0,0.0298700347273275,0.0195477028896205,0.125133694150393,0.0857827546221952
1984-04-01,4009.601,7617.547,0,0.0259840319504292,0.0172779266274379,0.1203607976645,0.0799669667540936
1984-07-01,4084.25,7690.985,0,0.0186175631939445,0.00964063628356993,0.107089138260843,0.0690083708341811
1984-10-01,4148.551,7754.117,0,0.0157436493848313,0.00820857146386267,0.0932470130755849,0.0557579946183568
1985-01-01,4230.168,7829.26,0,0.0196736161614013,0.00969072300559759,0.0824231190254792,0.0455509338934348
1985-04-01,4294.887,7898.194,0,0.0152993923645597,0.00880466353141962,0.0711507204831603,0.0368421750466392
1985-07-01,4386.773,8018.809,0,0.0213942764966806,0.0152712126341787,0.0740706372038931,0.0426244492740528
1985-10-01,4444.094,8078.415,0,0.0130667805240892,0.00743327344497247,0.0712400546600487,0.0418226859357422
1986-01-01,4507.894,8153.829,0,0.0143561319810057,0.00933524707507583,0.0656536572542747,0.0414558974922279
1986-04-01,4545.34,8190.552,0,0.0083067614278427,0.00450377362586307,0.0583142234009884,0.0370158038660482
1986-07-01,4607.669,8268.935,0,0.0137127255606844,0.0095699288643798,0.0503550103914654,0.0311924127385999
1986-10-01,4657.627,8313.338,0,0.0108423586850537,0.00536985718233329,0.0480487136410708,0.0290803332089278
1987-01-01,4722.156,8375.274,0,0.013854479974458,0.00745019629900856,0.0475303988958036,0.0271584061917414
1987-04-01,4806.16,8465.63,0,0.0177893318221585,0.0107884231608408,0.0573818460225197,0.0335847937965597
1987-07-01,4884.555,8539.075,0,0.0163113587562642,0.00867566855626944,0.0600924241736984,0.0326692615191679
1987-10-01,5007.994,8685.694,0,0.0252712887867985,0.0171703609583007,0.0752243578113918,0.0447901913767972
1988-01-01,5073.372,8730.569,0,0.0130547281007118,0.00516654167185737,0.0743761959579481,0.0424218956896216
1988-04-01,5190.036,8845.28,0,0.0229953569342038,0.013139006174741,0.0798716646969722,0.0448460421728805
1988-07-01,5282.835,8897.107,0,0.0178802227961439,0.00585928314309991,0.0815386457927079,0.0419286632334297
1988-10-01,5399.509,9015.661,0,0.0220854900825032,0.0133250055326963,0.0781780089992121,0.0379897104364948
